Timestamp,Building,Floor,Gender,Time_of_Day,CFU
3/20/2024 10:49:11,7,1st,Male,Morning,31
3/20/2024 10:49:37,19,1st,Female,Morning,163
3/20/2024 10:51:00,12,1st,Male,Morning,102
3/20/2024 10:52:50,6,1st,Female,Morning,127
3/20/2024 10:53:59,5,1st,Male,Morning,0
3/20/2024 10:55:50,8,1st,Female,Morning,62
3/20/2024 10:56:49,19,1st,Male,Morning,1378
3/20/2024 10:57:45,4,1st,Female,Morning,602
4/11/2024 12:25:43,8,3rd,Female,Afternoon,466
4/11/2024 12:25:45,7,3rd,Female,Afternoon,12
4/11/2024 12:26:04,8,2nd,Female,Afternoon,26
4/11/2024 12:27:15,8,1st,Female,Afternoon,69
4/11/2024 12:27:37,7,2nd,Female,Afternoon,92
4/11/2024 12:28:04,8,2nd,Male,Afternoon,1
4/11/2024 12:29:26,7,1st,Male,Afternoon,131
4/11/2024 12:30:08,8,3rd,Male,Afternoon,114
4/11/2024 12:31:07,8,1st,Male,Afternoon,209
4/11/2024 12:32:46,7,1st,Female,Afternoon,419
4/11/2024 12:32:47,7,2nd,Male,Afternoon,122
4/11/2024 12:39:58,7,3rd,Male,Afternoon,635
4/12/2024 11:09:43,4,2nd,Male,Afternoon,35
4/12/2024 11:10:19,5,1st,Male,Afternoon,38
4/12/2024 11:10:39,4,1st,Female,Afternoon,22
4/12/2024 11:11:15,6,1st,Female,Afternoon,117
4/12/2024 11:11:51,6,2nd,Male,Afternoon,7
4/12/2024 11:12:37,4,2nd,Female,Afternoon,132
4/12/2024 11:13:19,5,1st,Female,Afternoon,328
4/12/2024 11:14:20,4,1st,Male,Afternoon,178
4/12/2024 11:14:35,6,1st,Female,Afternoon,164
4/12/2024 11:14:42,5,2nd,Female,Afternoon,87
4/12/2024 11:20:17,4,1st,Female,Afternoon,703
4/12/2024 11:20:57,4,1st,Male,Afternoon,1200
4/12/2024 11:22:29,5,2nd,Male,Afternoon,338
