Timestamp,Writing_utensil,GPA
3/23/2023 10:53:39,Pencil,3.7
3/23/2023 10:54:52,Pen,3.33
3/23/2023 10:55:16,Pencil,3.9
3/23/2023 11:01:50,Pen,2.5
3/23/2023 11:03:33,Pen,3
3/23/2023 11:03:40,Pencil,3.8
3/23/2023 11:03:47,Pen,3.94
3/23/2023 11:04:49,Pen,4
3/23/2023 11:07:04,Pen,3.73
3/23/2023 11:07:22,Pen,2.9
3/23/2023 11:07:43,Pencil,3.91
3/23/2023 11:08:33,Pen,4
3/23/2023 11:11:00,Pencil,3.26
3/23/2023 11:12:25,Pencil,3.95
3/23/2023 11:12:33,Pen,3.83
3/23/2023 11:12:37,Pencil,3.86
3/23/2023 11:12:40,Pencil,3.8
3/23/2023 11:13:47,Pencil,3.5
3/23/2023 11:14:09,Pen,2.99
3/23/2023 11:14:10,Pencil,3.82
3/23/2023 11:14:26,Pencil,4
3/23/2023 11:14:28,Pen,3.52
3/23/2023 11:14:41,Pencil,3.58
3/23/2023 11:14:42,Pencil,2.23
3/23/2023 11:15:02,Pen,3.45
3/23/2023 11:15:13,Pencil,3.74
3/23/2023 11:15:14,Pencil,0
3/23/2023 11:15:27,Pencil,3.13
3/23/2023 11:15:39,Pen,3.78
3/23/2023 11:15:46,Pencil,4
3/23/2023 11:15:49,Pencil,3.55
3/23/2023 11:15:50,Pencil,3.3
3/23/2023 11:15:56,Pen,2.62
3/23/2023 11:16:15,Pen,3.33
3/23/2023 11:16:29,Pencil,3.93
3/23/2023 11:16:31,Pen,3.5
3/23/2023 11:18:02,Pencil,3.6
3/24/2023 8:49:08,Pencil,3.9
3/24/2023 8:51:15,Pen,3.75
3/24/2023 8:53:12,Pencil,3.95
3/24/2023 8:53:32,Pencil,4
3/24/2023 8:54:27,Pen,3.97
3/24/2023 9:04:46,Pen,2.8
3/24/2023 9:05:07,Pencil,3.8
3/24/2023 9:06:01,Pen,3
3/24/2023 9:07:25,Pencil,3.92
3/24/2023 9:09:09,Pencil,4
3/24/2023 9:16:18,Pencil,1.42
3/24/2023 9:26:37,Pencil,3.5
3/24/2023 9:27:20,Pen,2.7
3/24/2023 9:27:41,Pen,3.48
3/24/2023 9:27:49,Pencil,3.5
3/24/2023 9:27:56,Pen,3.26
3/24/2023 9:28:00,Pen,3.92
3/24/2023 9:28:10,Pen,3.38
3/24/2023 9:28:36,Pen,2.6
3/24/2023 9:28:36,Pencil,2.89
3/24/2023 9:28:39,Pen,3.6
3/24/2023 9:29:30,Pen,2.6
3/24/2023 9:29:36,Pencil,2
3/24/2023 9:29:41,Pencil,3
3/24/2023 9:29:42,Pen,1.93
3/24/2023 9:30:02,Pencil,2.25
3/24/2023 9:30:19,Pen,1
3/24/2023 9:30:44,Pencil,3.92
3/24/2023 9:30:49,Pencil,2
3/24/2023 9:30:57,Pen,3.3
3/24/2023 10:07:57,Pencil,3.4
3/24/2023 13:58:51,Pen,4
3/24/2023 13:59:43,Pencil,3.25
3/24/2023 14:00:28,Pencil,2.46
3/24/2023 14:00:55,Pen,
3/24/2023 14:00:59,Pencil,3.06
3/24/2023 14:01:57,Pen,2.07
3/26/2023 21:20:57,Pencil,3.7
3/27/2023 10:23:30,Pen,2.82
4/2/2023 19:56:27,Pen,2
