Timestamp,Favorite_Part,Gender
11/29/2020 17:46:53,Thigh,Male
11/29/2020 17:47:09,Wing,Female
11/29/2020 17:51:32,Thigh,Male
11/29/2020 18:08:18,Breast,Male
11/29/2020 18:26:37,Wing,Female
11/29/2020 18:48:45,Thigh,Female
11/29/2020 18:49:59,Breast,Male
11/29/2020 19:08:00,Thigh,Female
11/29/2020 19:21:03,Breast,Male
11/29/2020 19:25:44,Thigh,Female
11/29/2020 20:14:31,Wing,Female
11/29/2020 21:22:26,Wing,Female
11/29/2020 23:02:30,Thigh,Female
11/29/2020 23:32:02,Leg,Female
11/29/2020 23:36:48,Wing,Male
11/30/2020 3:20:25,Leg,Male
11/30/2020 8:00:23,Leg,Female
11/30/2020 8:29:34,Wing,Male
11/30/2020 9:44:12,Breast,Female
11/30/2020 9:49:45,Leg,Female
11/30/2020 10:26:51,Wing,Female
11/30/2020 10:46:20,Breast,Male
11/30/2020 10:57:37,Thigh,Male
11/30/2020 10:58:00,Thigh,Female
11/30/2020 11:00:16,Leg,Female
11/30/2020 11:09:37,Leg,Female
11/30/2020 11:09:43,Breast,Female
11/30/2020 11:09:45,Breast,Female
11/30/2020 11:10:10,Breast,Female
11/30/2020 11:11:16,Breast,Female
11/30/2020 12:01:24,Breast,Female
11/30/2020 13:05:17,Breast,Female
11/30/2020 13:09:29,Breast,Male
11/30/2020 13:12:17,Other,Male
11/30/2020 18:31:57,Breast,Male
11/30/2020 22:35:56,Leg,Male
12/1/2020 12:02:37,Wing,Male
12/1/2020 12:06:24,Wing,Female
12/1/2020 12:10:12,Other,Male
12/1/2020 12:30:40,Breast,Female
12/1/2020 12:31:13,Breast,Female
12/1/2020 12:39:59,Breast,Female
12/1/2020 12:41:16,Wing,Male
12/1/2020 12:41:26,Thigh,Female
12/1/2020 12:41:29,Leg,Female
12/1/2020 12:41:35,Wing,Male
12/1/2020 12:41:52,Wing,Male
12/1/2020 12:43:14,Breast,Female
12/1/2020 12:44:03,Wing,Male
12/1/2020 12:45:37,Wing,Female
12/2/2020 10:00:13,Breast,Female
12/3/2020 17:34:45,Wing,Female
12/9/2020 22:55:01,Breast,Female
2/1/2021 18:48:35,Breast,Female
3/12/2021 17:55:57,Breast,Female
11/8/2021 11:07:54,Thigh,Male
11/8/2021 11:08:11,Wing,Female
11/8/2021 11:08:26,Thigh,Male
11/8/2021 11:08:48,Other,Female
11/8/2021 11:08:55,Wing,Female
11/8/2021 11:09:07,Breast,Female
11/8/2021 11:09:17,Thigh,Male
11/8/2021 11:09:28,Leg,Male
11/8/2021 11:09:30,Leg,Female
11/8/2021 11:09:36,Leg,Male
11/8/2021 11:09:38,Breast,Male
11/8/2021 11:09:41,Thigh,Male
11/8/2021 11:09:41,Breast,Female
11/8/2021 11:09:46,Leg,Male
11/8/2021 11:09:56,Other,
11/8/2021 11:09:59,Leg,Male
11/8/2021 11:10:01,Wing,Female
11/8/2021 11:10:08,Breast,Female
11/8/2021 11:10:10,Leg,Female
11/8/2021 11:10:11,Wing,Male
11/8/2021 11:10:13,Wing,Male
11/8/2021 11:10:21,Wing,Male
11/8/2021 11:10:21,Breast,Male
11/8/2021 11:10:26,Wing,Male
11/8/2021 11:10:32,Breast,Male
11/8/2021 11:10:43,Breast,Male
11/8/2021 11:23:27,Wing,Male
11/8/2021 12:28:41,Wing,Male
11/8/2021 12:31:41,Breast,Female
11/8/2021 12:31:48,Breast,Female
11/8/2021 12:31:58,Breast,Female
11/8/2021 12:45:32,Thigh,Male
11/8/2021 12:45:35,Other,Female
11/8/2021 13:05:53,Thigh,Male
11/8/2021 13:11:58,Wing,Female
11/8/2021 22:15:43,Thigh,Male
11/9/2021 4:53:02,Breast,Female
11/9/2021 13:12:34,Wing,Male
10/26/2022 12:47:26,Wing,Male
10/26/2022 12:47:38,Leg,Male
10/26/2022 12:49:29,Thigh,Male
10/26/2022 12:55:43,Wing,Female
10/26/2022 13:01:48,Wing,Male
10/26/2022 13:02:58,Breast,Male
10/26/2022 13:03:06,Thigh,Male
10/26/2022 13:06:02,Leg,Male
10/26/2022 13:06:35,Other,Male
10/26/2022 13:07:19,Wing,Male
10/26/2022 13:07:22,Thigh,Female
10/26/2022 13:08:57,Leg,Female
10/26/2022 13:09:08,Breast,Male
10/26/2022 13:09:39,Wing,Female
10/26/2022 13:10:03,Breast,Male
10/26/2022 13:10:38,Breast,Male
10/26/2022 13:10:44,Breast,Male
10/26/2022 13:10:51,Breast,Female
10/26/2022 13:11:06,Wing,Male
10/26/2022 13:12:09,Leg,Female
10/26/2022 13:12:13,Wing,Male
10/26/2022 13:12:27,Wing,Male
10/26/2022 13:12:43,Wing,Female
10/26/2022 13:12:54,Wing,Female
10/26/2022 13:13:13,Wing,Female
10/26/2022 13:14:38,Leg,Male
10/26/2022 13:50:18,Breast,Female
10/26/2022 14:12:37,Leg,Female
10/26/2022 20:51:17,Leg,Male
10/27/2022 19:47:17,Breast,Male
11/20/2019 9:55:38,Thigh,Female
11/20/2019 9:55:45,Breast,Male
11/20/2019 9:55:46,Wing,Female
11/20/2019 9:56:06,Leg,Male
11/20/2019 9:57:26,Wing,Male
11/20/2019 9:57:32,Thigh,Male
11/20/2019 9:57:36,Wing,Male
11/20/2019 9:59:08,Breast,Female
11/20/2019 10:00:51,Wing,Female
11/20/2019 10:00:52,Wing,Female
11/20/2019 10:09:16,Leg,Female
11/20/2019 10:09:37,Leg,Female
