SampleID,Zip_Code,Ward,ppb1,ppb2,ppb3,Lead_Level
1,48504,6,0.344,0.226,0.145,SAFE
2,48507,9,8.133,10.77,2.761,SAFE
4,48504,1,1.111,0.11,0.123,SAFE
5,48507,8,8.007,7.446,3.384,SAFE
6,48505,3,1.951,0.048,0.035,SAFE
7,48507,9,7.2,1.4,0.2,SAFE
8,48507,9,40.63,9.726,6.132,UNSAFE
9,48503,5,1.1,2.5,0.1,SAFE
12,48507,9,10.6,1.038,1.294,SAFE
13,48505,3,6.2,4.2,2.3,SAFE
15,48507,9,4.358,0.822,0.147,SAFE
16,48505,5,24.37,8.796,4.347,UNSAFE
17,48505,2,6.609,5.752,1.433,SAFE
18,48503,7,4.062,1.099,1.085,SAFE
19,48507,9,2.484,0.72,0.565,SAFE
20,48507,9,0.438,1.046,0.511,SAFE
21,48503,5,1.29,0.243,0.225,SAFE
22,48504,6,0.548,0.622,0.361,SAFE
23,48504,2,3.131,0.674,0.683,SAFE
24,48504,6,120,239.7,29.71,UNSAFE
25,48505,1,2.911,0.406,0.237,SAFE
26,48505,5,16.52,10.26,2.762,UNSAFE
27,48505,1,1.984,1.13,0.712,SAFE
28,48503,7,5.367,2.474,1.616,SAFE
29,48504,2,5.5,8.4,2.4,SAFE
30,48506,4,0.639,0.223,0.194,SAFE
31,48503,7,6.087,28.87,2.13,SAFE
31,48503,7,10.32,13.47,18.19,SAFE
33,48503,6,66.88,2.662,2.082,UNSAFE
34,48505,1,20.41,3.543,2.344,UNSAFE
35,48504,6,109.6,80.47,94.52,UNSAFE
36,48503,8,5.06,3.406,4.088,SAFE
37,48504,2,2.774,0.21,0.264,SAFE
38,48505,3,4.453,3.679,3.523,SAFE
39,48505,1,0.4,0.3,0.7,SAFE
40,48529,9,0.974,0.142,0.118,SAFE
41,48505,5,3.228,2.534,2.222,SAFE
42,48505,2,12.55,4.132,0.12,SAFE
43,48505,3,0.501,0.156,15.14,SAFE
44,48504,2,2.448,0.373,0.288,SAFE
45,48505,3,5.508,5.157,2.621,SAFE
46,48504,6,1.293,0.441,0.281,SAFE
47,48505,1,4.699,1.395,0.329,SAFE
48,48504,6,6.093,2.682,1.458,SAFE
49,48504,2,0.8,0.8,0.5,SAFE
50,48503,5,1.626,1.332,0.327,SAFE
51,48507,8,2.576,2.852,1.48,SAFE
52,48504,1,2.362,0.467,0.339,SAFE
53,48503,5,1.585,0.494,1.232,SAFE
54,48506,4,3.058,1.808,1.169,SAFE
55,48506,4,2.423,0.393,0.373,SAFE
56,48503,8,30.91,42.58,44.6,UNSAFE
57,48503,8,4.47,3.649,1,SAFE
58,48505,1,2.172,1.76,1.44,SAFE
59,48505,3,1.8,0.5,0.2,SAFE
63,48503,5,0.965,0.166,0.319,SAFE
65,48505,1,7.636,5.206,9.239,SAFE
66,48506,3,3.158,1.948,2.802,SAFE
67,48503,7,105.3,12.84,4.534,UNSAFE
68,48506,3,4.476,0.355,0.334,SAFE
69,48504,1,2.828,6.694,20.99,SAFE
71,48503,5,2.481,3.86,24.64,SAFE
72,48507,5,11.52,0.288,0.215,SAFE
73,48507,8,3.784,0.292,0.258,SAFE
