YEAR,Car_Age,MILEAGE,CAR_PRICE,Website
2018,5,26500,110000,Craigslist
2017,6,76252,89995,Craigslist
2013,10,16778,88888,Craigslist
2018,5,20888,109988,Craigslist
2015,8,72513,66000,Craigslist
2017,6,51416,92740,Autotrader
2021,2,11803,207900,Autotrader
2021,2,13624,144881,Autotrader
2020,3,20341,139992,Autotrader
2022,1,2376,207995,Autotrader
2003,20,112000,35995,Autotrader
2008,15,104671,40999,Carguru
2008,15,131124,48500,Carguru
2013,20,130962,49569,Other
2005,18,80802,57790,Other
2014,9,95267,58330,Other
