Date,Dispatched,Encounter_Type,Area_Stopped_OPD,Intelligence_Led_Factor,Reason_for_Stop,Traffic_type_Detail,Location_Vehicle_Occupant,Subject_Sex,Subject_Race,Result_of_Stop
3/7/2021,Yes,Pedestrian,Area 4,No,Community Caretaking,,,M,Hispanic,Psychiatric Hold
2/15/2021,Yes,Pedestrian,Area 4,No,Probable Cause,,,M,Afr American,Arrest
1/12/2021,Yes,Pedestrian,Area 2,Yes,Probable Cause,,,M,Hispanic,Arrest
1/4/2021,Yes,Pedestrian,Area 5,No,Community Caretaking,,,F,White,Psychiatric Hold
1/28/2021,Yes,Pedestrian,Area 4,No,Community Caretaking,,,M,Hispanic,No Action
3/24/2021,Yes,Pedestrian,Area 5,No,Community Caretaking,,,F,Hispanic,Psychiatric Hold
2/25/2021,Yes,Vehicle,Area 2,Yes,Probable Cause,,Other,F,White,Arrest
3/12/2021,Yes,Pedestrian,Area 4,Yes,Probable Cause,,,M,Hispanic,Arrest
3/12/2021,Yes,Pedestrian,Area 4,Yes,Probable Cause,,,M,Hispanic,Arrest
2/24/2021,No,Vehicle,Area 5,Yes,Probable Cause,,Passenger,M,Afr American,No Action
1/12/2021,Yes,Pedestrian,Area 5,No,Community Caretaking,,,F,Afr American,Other
1/16/2021,Yes,Pedestrian,Area 1,Yes,Probable Cause,,,M,Other,No Action
3/30/2021,Yes,Pedestrian,Area 4,No,Community Caretaking,,,F,Afr American,No Action
3/30/2021,No,Vehicle,Area 5,Yes,Community Caretaking,,Driver,M,Afr American,No Action
3/30/2021,No,Vehicle,Area 5,Yes,Community Caretaking,,Other,M,Afr American,No Action
3/4/2021,Yes,Pedestrian,Area 4,No,Community Caretaking,,,M,Hispanic,No Action
1/6/2021,Yes,Vehicle,Area 1,Yes,Reasonable Suspicion,,Driver,M,Afr American,No Action
1/7/2021,Yes,Pedestrian,Area 3,Yes,Probable Cause,,,M,White,Arrest
3/8/2021,Yes,Pedestrian,Area 4,No,Community Caretaking,,,F,Afr American,Psychiatric Hold
1/12/2021,Yes,Pedestrian,Area 1,No,Community Caretaking,,,M,Afr American,Psychiatric Hold
1/31/2021,No,Vehicle,Area 5,Yes,Reasonable Suspicion,,Driver,M,Asian,Arrest
2/3/2021,Yes,Pedestrian,Area 5,Yes,Community Caretaking,,Other,M,Afr American,Other
