cid,name,Gender,chamber,avgbegin,avgend,growth,chgpct,category,Party
N00003028,"Aderholt, Robert B (R-Ala)",M,H,1566011,6370510,4804499,306.8,>100% Gain,R
N00009888,"Alexander, Lamar (R-Tenn)",M,S,25804887,25919044,114157,0.4,0-50% Gain,R
N00004367,"Baldwin, Tammy (D-Wis)",F,S,1655006,1147003,-508003,-30.7,0-50% Loss,D
N00006236,"Barrasso, John A (R-Wyo)",M,S,6482008,8339006,1856998,28.6,0-50% Gain,R
N00030608,"Bennet, Michael F (D-Colo)",M,S,16688509,15706014,-982495,-5.9,0-50% Loss,D
N00027462,"Bilirakis, Gus (R-Fla)",M,H,269007,96016,-172991,-64.3,50-100% Loss,R
N00025292,"Bishop, Rob (R-Utah)",M,H,3501,40501,37000,1056.8,>100% Gain,R
N00002674,"Bishop, Sanford D Jr (D-Ga)",M,H,335004,153502,-181502,-54.2,50-100% Loss,D
N00003105,"Blackburn, Marsha (R-Tenn)",F,S,374514,262013,-112501,-30,0-50% Loss,R
N00007727,"Blumenauer, Earl (D-Ore)",M,H,3615019,12561042,8946023,247.5,>100% Gain,D
N00005195,"Blunt, Roy (R-Mo)",M,S,601509,5704510,5103001,848.4,>100% Gain,R
N00005883,"Brady, Kevin (R-Texas)",M,H,535516,766513,230997,43.1,0-50% Gain,R
N00003535,"Brown, Sherrod (D-Ohio)",M,S,170004,263005,93001,54.7,50-100% Gain,D
N00027626,"Buchanan, Vernon(R-Fla)",M,H,142432692,157169056,14736364,10.3,0-50% Gain,R
N00025219,"Burgess, Michael (R-Texas)",M,H,1853045,2328027,474982,25.6,0-50% Gain,R
N00002221,"Burr, Richard (R-NC)",M,S,1098744,7426213,6327469,575.9,>100% Gain,R
N00027035,"Butterfield, G K (D-NC)",M,H,413000,727007,314007,76,50-100% Gain,D
N00007099,"Calvert, Ken (R-Calif)",M,H,3962503,8000004,4037501,101.9,>100% Gain,R
N00007836,"Cantwell, Maria (D-Wash)",F,S,6137506,5756508,-380998,-6.2,0-50% Loss,D
N00009771,"Capito, Shelley Moore (R-WVa)",F,S,1311530,2149080,837550,63.9,50-100% Gain,R
N00001955,"Cardin, Ben (D-Md)",M,S,2282541,3112546,830005,36.4,0-50% Gain,D
N00012508,"Carper, Tom (D-Del)",M,S,3993057,5726595,1733538,43.4,0-50% Gain,D
N00029513,"Carson, Andre (D-Ind)",M,H,-34998,-24500,10498,30,0-50% Gain,D
N00025095,"Carter, John (R-Texas)",M,H,3000000,3373503,373503,12.5,0-50% Gain,R
N00027503,"Casey, Bob (D-Pa)",M,S,351509,609007,257498,73.3,50-100% Gain,D
N00030245,"Cassidy, William (R-La)",M,S,2242617,-1115970,-3358587,-149.8,>100% Loss,R
N00027514,"Castor, Kathy (D-Fla)",F,H,1005514,6296518,5291004,526.2,>100% Gain,D
N00003689,"Chabot, Steve (R-Ohio)",M,H,700515,955513,254998,36.4,0-50% Gain,R
N00030600,"Chu, Judy (D-Calif)",F,H,92007,7090031,6998024,7606,>100% Gain,D
N00026961,"Clarke, Yvette D (D-NY)",F,H,46004,207501,161497,351,>100% Gain,D
N00012460,"Clay, William L Jr (D-Mo)",M,H,80503,336007,255504,317.4,>100% Gain,D
N00026790,"Cleaver, Emanuel (D-Mo)",M,H,706506,-2266995,-2973501,-420.9,>100% Loss,D
N00002408,"Clyburn, James E (D-SC)",M,H,397505,189504,-208001,-52.3,50-100% Loss,D
N00003225,"Cohen, Stephen Ira (D-Tenn)",M,H,2053033,6198058,4145025,201.9,>100% Gain,D
N00025726,"Cole, Tom (R-Okla)",M,H,3184046,5251030,2066984,64.9,50-100% Gain,R
N00000491,"Collins, Susan M (R-Maine)",F,S,410005,4124043,3714038,905.9,>100% Gain,R
N00026041,"Conaway, Mike (R-Texas)",M,H,2750559,12417089,9666530,351.4,>100% Gain,R
N00029891,"Connolly, Gerry (D-Va)",M,H,2201521,2650022,448501,20.4,0-50% Gain,D
N00003132,"Cooper, Jim (D-Tenn)",M,H,4654021,16269525,11615504,249.6,>100% Gain,D
N00024852,"Cornyn, John (R-Texas)",M,S,206503,1884522,1678019,812.6,>100% Gain,R
N00026341,"Costa, Jim (D-Calif)",M,H,3073002,4902513,1829511,59.5,50-100% Gain,D
N00024842,"Courtney, Joe (D-Conn)",M,H,474010,987022,513012,108.2,>100% Gain,D
N00006267,"Crapo, Mike (R-Idaho)",M,S,629169,944521,315352,50.1,50-100% Gain,R
N00024978,"Cuellar, Henry (D-Texas)",M,H,862006,602008,-259998,-30.2,0-50% Loss,D
N00001971,"Cummings, Elijah E (D-Md)",M,H,887506,1420501,532995,60.1,50-100% Gain,D
N00004884,"Davis, Danny K (D-Ill)",M,H,283507,418504,134997,47.6,0-50% Gain,D
N00009604,"Davis, Susan A (D-Calif)",F,H,1682522,2817021,1134499,67.4,50-100% Gain,D
N00007781,"DeFazio, Peter (D-Ore)",M,H,922508,1519010,596502,64.7,50-100% Gain,D
N00006134,"DeGette, Diana (D-Colo)",F,H,524012,3095025,2571013,490.6,>100% Gain,D
N00000615,"DeLauro, Rosa L (D-Conn)",F,H,16276510,2541002,-13735508,-84.4,50-100% Loss,D
N00026171,"Dent, Charles Wieder (R-Pa)",M,H,523025,507016,-16009,-3.1,0-50% Loss,R
N00025337,"Diaz-Balart, Mario (R-Fla)",F,H,8000,81504,73504,918.8,>100% Gain,R
N00006023,"Doggett, Lloyd (D-Texas)",M,H,13019047,29723027,16703980,128.3,>100% Gain,D
N00001373,"Doyle, Mike (D-Pa)",M,H,175000,1153019,978019,558.9,>100% Gain,D
N00001003,"Engel, Eliot L (D-NY)",M,H,56502,-31498,-88000,-155.7,>100% Loss,D
N00006249,"Enzi, Mike (R-Wyo)",M,S,1394535,2137028,742493,53.2,50-100% Gain,R
